abbrev,states,letters,population,per_capita,Latitude_2,Longitude_2
AK,Alaska,[11],[738432],[1.49E-5f],62.890301,-149.054077
AL,Alabama,[21],[4858979],[4.32E-6f],32.614471,-86.68074
AR,Arkansas,[16],[2978204],[5.37E-6f],34.751888,-92.131348
AZ,Arizona,[33],[6828065],[4.83E-6f],34.168091,-111.930344
CA,California,[455],[39144818],[1.16E-5f],37.271832,-119.270203
CO,Colorado,[37],[5456574],[6.78E-6f],38.997841,-105.550911
CT,Connecticut,[70],[3590886],[1.95E-5f],41.515572,-72.757477
DC,District of Columbia,[9],[672228],[1.34E-5f],38.8937,-77.014587
DE,Delaware,[14],[945934],[1.48E-5f],39.145199,-75.41861
FL,Florida,[76],[20271272],[3.75E-6f],27.975639,-81.541183
GA,Georgia,[42],[10214860],[4.11E-6f],32.678131,-83.222931
HI,Hawaii,[15],[1431603],[1.05E-5f],19.58964,-155.434036
IA,Iowa,[29],[3123899],[9.28E-6f],41.938221,-93.3899
ID,Idaho,[4],[1654930],[2.42E-6f],45.494419,-114.143219
IL,Illinois,[189],[12859995],[1.47E-5f],39.739281,-89.504128
IN,Indiana,[71],[6619680],[1.07E-5f],39.766201,-86.441254
KS,Kansas,[31],[2911641],[1.06E-5f],38.498058,-98.320213
KY,Kentucky,[38],[4425092],[8.59E-6f],37.822399,-85.691101
LA,Louisiana,[45],[4670724],[9.63E-6f],30.97226,-91.521797
MA,Massachusetts,[144],[6794422],[2.12E-5f],42.163891,-71.717941
MD,Maryland,[80],[6006401],[1.33E-5f],38.823399,-75.923759
ME,Maine,[13],[1329328],[9.78E-6f],45.262379,-69.008301
MI,Michigan,[132],[9922576],[1.33E-5f],43.742691,-84.62162
MN,Minnesota,[66],[5489594],[1.2E-5f],46.441929,-93.365471
MO,Missouri,[69],[6083672],[1.13E-5f],38.304611,-92.436653
MS,Mississippi,[21],[2992333],[7.02E-6f],32.585159,-89.876381
MT,Montana,[13],[1032949],[1.26E-5f],46.67944,-110.044472
NC,North Carolina,[33],[10042802],[3.29E-6f],35.21941,-80.018333
ND,North Dakota,[10],[756927],[1.32E-5f],47.467731,-100.301712
NE,Nebraska,[14],[1896190],[7.38E-6f],41.500839,-99.680771
NH,New Hampshire,[11],[1330608],[8.27E-6f],44.001301,-71.632828
NJ,New Jersey,[166],[8958013],[1.85E-5f],40.14278,-74.726723
NM,New Mexico,[17],[2085109],[8.15E-6f],34.166161,-106.026123
NV,Nevada,[7],[2890845],[2.42E-6f],38.50246,-117.02272
NY,New York,[563],[19795791],[2.84E-5f],40.71455,-74.007124
OH,Ohio,[188],[11613423],[1.62E-5f],40.190269,-82.669403
OK,Oklahoma,[23],[3911338],[5.88E-6f],35.30896,-98.716942
OR,Oregon,[38],[4028977],[9.43E-6f],44.114552,-120.514908
PA,Pennsylvania,[211],[12802503],[1.65E-5f],40.99464,-77.604507
RI,Rhode Island,[23],[1056298],[2.18E-5f],41.661171,-71.555771
SC,South Carolina,[23],[4896146],[4.7E-6f],33.624981,-80.947441
SD,South Dakota,[4],[858469],[4.66E-6f],44.212391,-100.247101
TN,Tennessee,[39],[6600299],[5.91E-6f],35.83062,-85.978554
TX,Texas,[139],[27469114],[5.06E-6f],31.168989,-100.07679
UT,Utah,[13],[2995919],[4.34E-6f],39.499611,-111.54705
VA,Virginia,[53],[8382993],[6.32E-6f],38.003349,-79.771446
VT,Vermont,[3],[626042],[4.79E-6f],43.871769,-72.451218
WA,Washington,[49],[7170351],[6.83E-6f],47.3917,-121.5708
WI,Wisconsin,[54],[5771337],[9.36E-6f],44.727242,-90.101562
WV,West Virginia,[27],[1844128],[1.46E-5f],38.920101,-80.181808
WY,Wyoming,[3],[586107],[5.12E-6f],43.00032,-107.554626
, , , , ,,
,,, ,,,
